PC: 80000180 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFFA430000C | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  LUI | 
PC: 80000184 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80000000 | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  ADDIU | 
PC: 80000188 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF800039E0 | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  JR | 
PC: 8000018C | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF800039E0 | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  SLL | 
PC: 800039E0 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF800039E0 | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  LUI | 
PC: 800039E4 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80010000 | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  ADDIU | 
PC: 800039E8 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  SD | 
PC: 800039EC | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 0000000000000AAA | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  MFCz | 
PC: 800039F0 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF03 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  SW | 
PC: 800039F4 | R00: 0000000000000000 | R01: FFFFFFFF80000000 | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF03 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  ADDIU | 
PC: 800039F8 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF03 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  AND | 
